Selection,Features,Classifier,Param1,Param2,Param3,Param4,Param5,Accuracy,Var
f_classif,70,Voting,Hard,,,,,0.970023808,7.09E-05
f_classif,140,Voting,Hard,,,,,0.970023808,7.09E-05
f_classif,115,Voting,Hard,,,,,0.969031816,0.000132507
mutual_info_classif,115,Voting,Hard,,,,,0.969025804,8.47E-05
mutual_info_classif,115,KNN,1,uniform,,,euclidean,0.968021788,7.28E-05
mutual_info_classif,115,KNN,1,distance,,,euclidean,0.968021788,7.28E-05
mutual_info_classif,98,Voting,Hard,,,,,0.967035808,0.000166252
f_classif,50,KNN,3,distance,,,euclidean,0.967029796,0.000148324
mutual_info_classif,140,Voting,Hard,,,,,0.967029796,0.00012442
f_classif,115,KNN,1,uniform,,,euclidean,0.967023784,9.46E-05
f_classif,115,KNN,1,distance,,,euclidean,0.967023784,9.46E-05
mutual_info_classif,187,Voting,Hard,,,,,0.96701176,1.73E-05
mutual_info_classif,50,Voting,Hard,,,,,0.967005748,5.62E-06
f_classif,187,Voting,Hard,,,,,0.967005748,5.62E-06
f_classif,70,KNN,3,distance,,,euclidean,0.966019768,7.27E-05
f_classif,70,KNN,5,distance,,,euclidean,0.966019768,5.48E-05
f_classif,187,KNN,1,uniform,,,manhattan,0.966019768,0.00010263
f_classif,187,KNN,1,distance,,,manhattan,0.966019768,0.00010263
mutual_info_classif,187,KNN,1,uniform,,,manhattan,0.966019768,0.00010263
mutual_info_classif,187,KNN,1,distance,,,manhattan,0.966019768,0.00010263
chi2,187,KNN,1,uniform,,,manhattan,0.966019768,0.00010263
chi2,187,KNN,1,distance,,,manhattan,0.966019768,0.00010263
f_classif,85,Voting,Hard,,,,,0.966013756,2.51E-05
mutual_info_classif,115,KNN,1,uniform,,,minkowski,0.966013756,3.71E-05
mutual_info_classif,115,KNN,1,distance,,,minkowski,0.966013756,3.71E-05
chi2,115,KNN,3,distance,,,manhattan,0.966013756,2.51E-05
chi2,115,Voting,Hard,,,,,0.966013756,3.71E-05
f_classif,98,KNN,3,distance,,,manhattan,0.966007744,1.35E-05
chi2,85,KNN,3,distance,,,euclidean,0.965021764,9.66E-05
mutual_info_classif,98,KNN,1,uniform,,,euclidean,0.965021764,7.27E-05
mutual_info_classif,98,KNN,1,distance,,,euclidean,0.965021764,7.27E-05
f_classif,140,KNN,1,uniform,,,minkowski,0.965021764,0.000132414
f_classif,140,KNN,1,distance,,,minkowski,0.965021764,0.000132414
chi2,115,KNN,3,uniform,,,manhattan,0.965015752,3.70E-05
chi2,140,Voting,Hard,,,,,0.965015752,3.70E-05
f_classif,85,KNN,3,distance,,,manhattan,0.96500974,2.53E-05
mutual_info_classif,85,Voting,Hard,,,,,0.96500974,4.92E-05
f_classif,98,KNN,3,uniform,,,manhattan,0.96500974,2.53E-05
f_classif,115,KNN,3,distance,,,manhattan,0.965003727,7.71E-06
chi2,140,KNN,3,distance,,,manhattan,0.965003727,7.71E-06
chi2,140,KNN,1,uniform,,,minkowski,0.964041796,0.000219856
chi2,140,KNN,1,distance,,,minkowski,0.964041796,0.000219856
f_classif,115,KNN,1,uniform,,,minkowski,0.964035784,0.000160061
f_classif,115,KNN,1,distance,,,minkowski,0.964035784,0.000160061
f_classif,140,KNN,1,uniform,,,euclidean,0.964029772,0.000124241
f_classif,140,KNN,1,distance,,,euclidean,0.964029772,0.000124241
chi2,140,KNN,1,uniform,,,euclidean,0.96402376,9.45E-05
chi2,140,KNN,1,distance,,,euclidean,0.96402376,9.45E-05
mutual_info_classif,70,Voting,Hard,,,,,0.964017748,4.09E-05
chi2,70,KNN,5,distance,,,manhattan,0.964017748,4.09E-05
chi2,187,Voting,Hard,,,,,0.964017748,4.09E-05
f_classif,85,KNN,3,uniform,,,manhattan,0.964011736,4.11E-05
f_classif,98,Voting,Hard,,,,,0.964011736,1.72E-05
chi2,115,KNN,5,distance,,,euclidean,0.964011736,1.72E-05
f_classif,70,KNN,3,distance,,,manhattan,0.964005723,1.75E-05
f_classif,115,KNN,3,uniform,,,manhattan,0.964005723,1.75E-05
chi2,115,KNN,1,uniform,,,euclidean,0.964005723,1.75E-05
chi2,115,KNN,1,distance,,,euclidean,0.964005723,1.75E-05
f_classif,140,KNN,3,distance,,,manhattan,0.964005723,5.59E-06
chi2,140,KNN,3,uniform,,,manhattan,0.964005723,1.75E-05
f_classif,85,KNN,5,distance,,,manhattan,0.963999711,2.39E-05
f_classif,187,KNN,1,uniform,,,minkowski,0.963031768,0.000221766
f_classif,187,KNN,1,distance,,,minkowski,0.963031768,0.000221766
mutual_info_classif,187,KNN,1,uniform,,,minkowski,0.963031768,0.000221766
mutual_info_classif,187,KNN,1,distance,,,minkowski,0.963031768,0.000221766
chi2,70,KNN,3,distance,,,euclidean,0.963025756,9.64E-05
f_classif,85,KNN,5,distance,,,euclidean,0.963025756,9.64E-05
mutual_info_classif,140,KNN,1,uniform,,,minkowski,0.963025756,0.000203935
mutual_info_classif,140,KNN,1,distance,,,minkowski,0.963025756,0.000203935
f_classif,50,KNN,5,distance,,,euclidean,0.963019744,0.000102511
f_classif,85,KNN,3,distance,,,euclidean,0.963019744,4.87E-05
chi2,85,KNN,5,distance,,,euclidean,0.963019744,5.47E-05
f_classif,98,KNN,1,uniform,,,euclidean,0.963019744,7.26E-05
f_classif,98,KNN,1,distance,,,euclidean,0.963019744,7.26E-05
mutual_info_classif,98,KNN,1,uniform,,,manhattan,0.963013732,3.70E-05
mutual_info_classif,98,KNN,1,distance,,,manhattan,0.963013732,3.70E-05
f_classif,70,KNN,3,uniform,,,manhattan,0.96300772,3.14E-05
chi2,70,KNN,3,distance,,,manhattan,0.96300772,1.34E-05
f_classif,140,KNN,3,uniform,,,manhattan,0.96300772,1.34E-05
f_classif,50,KNN,3,distance,,,manhattan,0.962995695,8.29E-06
f_classif,50,KNN,3,uniform,,,euclidean,0.962027752,0.000102246
mutual_info_classif,98,KNN,3,distance,,,euclidean,0.962027752,0.000102246
f_classif,140,SVM,Polynomial,0.78,10,1.666666667,,0.962027752,0.000102246
f_classif,140,SVM,Polynomial,0.790909091,10,1.666666667,,0.962027752,0.000102246
f_classif,140,SVM,Polynomial,0.801818182,10,1.666666667,,0.962027752,0.000102246
chi2,187,KNN,1,uniform,,,minkowski,0.962027752,0.000191887
chi2,187,KNN,1,distance,,,minkowski,0.962027752,0.000191887
f_classif,50,Voting,Hard,,,,,0.96202174,6.06E-05
mutual_info_classif,98,SVM,Polynomial,0.845454545,9,1.666666667,,0.96202174,6.06E-05
mutual_info_classif,98,SVM,Polynomial,0.856363636,9,1.666666667,,0.96202174,6.06E-05
mutual_info_classif,98,SVM,Polynomial,0.867272727,9,1.666666667,,0.96202174,6.06E-05
mutual_info_classif,98,SVM,Polynomial,0.878181818,9,1.666666667,,0.96202174,6.06E-05
mutual_info_classif,98,SVM,Polynomial,0.889090909,9,1.666666667,,0.96202174,6.06E-05
mutual_info_classif,98,SVM,Polynomial,0.9,9,1.666666667,,0.96202174,6.06E-05
mutual_info_classif,115,KNN,1,uniform,,,manhattan,0.96202174,9.64E-05
mutual_info_classif,115,KNN,1,distance,,,manhattan,0.96202174,9.64E-05
f_classif,115,KNN,3,distance,,,euclidean,0.962015728,3.69E-05
mutual_info_classif,70,KNN,1,uniform,,,euclidean,0.962009716,4.91E-05
mutual_info_classif,70,KNN,1,distance,,,euclidean,0.962009716,4.91E-05
f_classif,98,KNN,5,distance,,,euclidean,0.962009716,1.33E-05
chi2,98,KNN,3,distance,,,euclidean,0.962009716,4.91E-05
mutual_info_classif,115,RF,100,entropy,50,,,0.962009716,2.52E-05
f_classif,140,KNN,5,distance,,,euclidean,0.962009716,1.33E-05
f_classif,50,KNN,5,distance,,,manhattan,0.962003703,2.56E-05
chi2,85,KNN,5,distance,,,manhattan,0.962003703,1.71E-06
f_classif,50,KNN,3,uniform,,,manhattan,0.961997691,1.41E-05
f_classif,98,KNN,1,uniform,,,minkowski,0.961029748,0.00011211
f_classif,98,KNN,1,distance,,,minkowski,0.961029748,0.00011211
mutual_info_classif,98,KNN,5,distance,,,euclidean,0.961029748,0.00011211
f_classif,140,SVM,Polynomial,0.812727273,10,1.666666667,,0.961029748,0.000124062
f_classif,140,SVM,Polynomial,0.823636364,10,1.666666667,,0.961029748,0.000124062
f_classif,140,SVM,Polynomial,0.834545455,10,1.666666667,,0.961029748,0.000124062
f_classif,140,SVM,Polynomial,0.845454545,10,1.666666667,,0.961029748,0.000124062
f_classif,140,SVM,Polynomial,0.856363636,10,1.666666667,,0.961029748,0.000124062
f_classif,140,SVM,Polynomial,0.867272727,10,1.666666667,,0.961029748,0.000124062
f_classif,140,SVM,Polynomial,0.878181818,10,1.666666667,,0.961029748,0.000124062
f_classif,140,SVM,Polynomial,0.889090909,10,1.666666667,,0.961029748,0.000124062
f_classif,140,SVM,Polynomial,0.9,10,1.666666667,,0.961029748,0.000124062
chi2,187,KNN,1,uniform,,,euclidean,0.961029748,0.000147966
chi2,187,KNN,1,distance,,,euclidean,0.961029748,0.000147966
mutual_info_classif,98,SVM,Polynomial,0.78,9,1.666666667,,0.961023736,7.64E-05
mutual_info_classif,98,SVM,Polynomial,0.790909091,9,1.666666667,,0.961023736,7.64E-05
mutual_info_classif,98,SVM,Polynomial,0.801818182,9,1.666666667,,0.961023736,7.64E-05
mutual_info_classif,98,SVM,Polynomial,0.812727273,9,1.666666667,,0.961023736,7.64E-05
mutual_info_classif,98,SVM,Polynomial,0.823636364,9,1.666666667,,0.961023736,7.64E-05
mutual_info_classif,98,SVM,Polynomial,0.834545455,9,1.666666667,,0.961023736,7.64E-05
mutual_info_classif,115,KNN,3,distance,,,euclidean,0.961023736,7.64E-05
f_classif,98,SVM,Polynomial,0.78,8,2.333333333,,0.961017724,7.66E-05
f_classif,98,SVM,Polynomial,0.790909091,8,2.333333333,,0.961017724,7.66E-05
f_classif,98,SVM,Polynomial,0.801818182,8,2.333333333,,0.961017724,7.66E-05
f_classif,98,SVM,Polynomial,0.812727273,8,2.333333333,,0.961017724,7.66E-05
f_classif,98,SVM,Polynomial,0.823636364,8,2.333333333,,0.961017724,7.66E-05
f_classif,98,SVM,Polynomial,0.834545455,8,2.333333333,,0.961017724,7.66E-05
f_classif,98,SVM,Polynomial,0.845454545,8,2.333333333,,0.961017724,7.66E-05
f_classif,98,SVM,Polynomial,0.856363636,8,2.333333333,,0.961017724,7.66E-05
f_classif,98,SVM,Polynomial,0.867272727,8,2.333333333,,0.961017724,7.66E-05
f_classif,98,SVM,Polynomial,0.878181818,8,2.333333333,,0.961017724,7.66E-05
f_classif,98,SVM,Polynomial,0.889090909,8,2.333333333,,0.961017724,7.66E-05
f_classif,98,SVM,Polynomial,0.9,8,2.333333333,,0.961017724,7.66E-05
f_classif,98,KNN,3,distance,,,euclidean,0.961017724,5.27E-05
mutual_info_classif,98,SVM,Polynomial,0.78,10,1.666666667,,0.961017724,4.08E-05
chi2,98,KNN,5,distance,,,euclidean,0.961017724,5.27E-05
mutual_info_classif,140,KNN,1,uniform,,,manhattan,0.961017724,5.27E-05
mutual_info_classif,140,KNN,1,distance,,,manhattan,0.961017724,5.27E-05
chi2,140,SVM,Polynomial,0.78,11,1.666666667,,0.961017724,5.27E-05
chi2,140,SVM,Polynomial,0.790909091,11,1.666666667,,0.961017724,5.27E-05
chi2,140,SVM,Polynomial,0.801818182,11,1.666666667,,0.961017724,5.27E-05
chi2,140,SVM,Polynomial,0.812727273,11,1.666666667,,0.961017724,5.27E-05
chi2,140,SVM,Polynomial,0.823636364,11,1.666666667,,0.961017724,5.27E-05
chi2,140,SVM,Polynomial,0.834545455,11,1.666666667,,0.961017724,5.27E-05
chi2,140,SVM,Polynomial,0.845454545,11,1.666666667,,0.961017724,5.27E-05
chi2,140,SVM,Polynomial,0.856363636,11,1.666666667,,0.961017724,5.27E-05
chi2,140,SVM,Polynomial,0.867272727,11,1.666666667,,0.961017724,5.27E-05
chi2,140,SVM,Polynomial,0.878181818,11,1.666666667,,0.961017724,5.27E-05
chi2,140,SVM,Polynomial,0.889090909,11,1.666666667,,0.961017724,5.27E-05
chi2,140,SVM,Polynomial,0.9,11,1.666666667,,0.961017724,5.27E-05
chi2,98,Voting,Hard,,,,,0.961011712,1.71E-05
mutual_info_classif,70,SVM,Polynomial,0.845454545,7,2.333333333,,0.961005699,4.14E-05
mutual_info_classif,70,SVM,Polynomial,0.856363636,7,2.333333333,,0.961005699,4.14E-05
mutual_info_classif,70,SVM,Polynomial,0.867272727,7,2.333333333,,0.961005699,4.14E-05
mutual_info_classif,70,SVM,Polynomial,0.878181818,7,2.333333333,,0.961005699,4.14E-05
mutual_info_classif,70,SVM,Polynomial,0.889090909,7,2.333333333,,0.961005699,4.14E-05
chi2,70,KNN,3,uniform,,,manhattan,0.961005699,1.75E-05
chi2,98,KNN,1,uniform,,,euclidean,0.961005699,4.14E-05
chi2,98,KNN,1,distance,,,euclidean,0.961005699,4.14E-05
chi2,98,KNN,3,distance,,,manhattan,0.961005699,1.75E-05
f_classif,115,KNN,5,distance,,,euclidean,0.961005699,5.55E-06
chi2,140,KNN,5,distance,,,euclidean,0.961005699,5.55E-06
mutual_info_classif,70,SVM,Polynomial,0.9,9,1.666666667,,0.960999687,5.38E-05
f_classif,98,KNN,5,distance,,,manhattan,0.960993675,6.49E-06
chi2,115,KNN,5,distance,,,manhattan,0.960993675,1.84E-05
f_classif,50,KNN,1,uniform,,,minkowski,0.960025732,8.43E-05
f_classif,50,KNN,1,distance,,,minkowski,0.960025732,8.43E-05
chi2,85,KNN,3,uniform,,,euclidean,0.960025732,8.43E-05
mutual_info_classif,98,KNN,1,uniform,,,minkowski,0.960025732,0.000155972
mutual_info_classif,98,KNN,1,distance,,,minkowski,0.960025732,0.000155972
f_classif,115,SVM,Polynomial,0.823636364,11,1.666666667,,0.960025732,8.43E-05
f_classif,115,SVM,Polynomial,0.834545455,11,1.666666667,,0.960025732,8.43E-05
mutual_info_classif,115,SVM,Polynomial,0.834545455,10,1.666666667,,0.960025732,8.43E-05
mutual_info_classif,115,SVM,Polynomial,0.845454545,10,1.666666667,,0.960025732,8.43E-05
mutual_info_classif,115,SVM,Polynomial,0.856363636,10,1.666666667,,0.960025732,8.43E-05
mutual_info_classif,115,SVM,Polynomial,0.867272727,10,1.666666667,,0.960025732,8.43E-05
mutual_info_classif,115,SVM,Polynomial,0.878181818,10,1.666666667,,0.960025732,8.43E-05
mutual_info_classif,115,SVM,Polynomial,0.889090909,10,1.666666667,,0.960025732,8.43E-05
mutual_info_classif,115,SVM,Polynomial,0.9,10,1.666666667,,0.960025732,8.43E-05
mutual_info_classif,115,KNN,5,distance,,,euclidean,0.960025732,8.43E-05
mutual_info_classif,140,KNN,1,uniform,,,euclidean,0.960025732,0.000155972
mutual_info_classif,140,KNN,1,distance,,,euclidean,0.960025732,0.000155972
f_classif,187,KNN,1,uniform,,,euclidean,0.960025732,0.000120115
f_classif,187,KNN,1,distance,,,euclidean,0.960025732,0.000120115
mutual_info_classif,187,KNN,1,uniform,,,euclidean,0.960025732,0.000120115
mutual_info_classif,187,KNN,1,distance,,,euclidean,0.960025732,0.000120115
f_classif,50,KNN,1,uniform,,,euclidean,0.96001972,7.25E-05
f_classif,50,KNN,1,distance,,,euclidean,0.96001972,7.25E-05
f_classif,70,KNN,3,uniform,,,euclidean,0.96001972,4.86E-05
mutual_info_classif,98,SVM,Polynomial,0.790909091,10,1.666666667,,0.96001972,5.46E-05
mutual_info_classif,98,SVM,Polynomial,0.801818182,10,1.666666667,,0.96001972,5.46E-05
mutual_info_classif,98,SVM,Polynomial,0.812727273,10,1.666666667,,0.96001972,5.46E-05
mutual_info_classif,98,SVM,Polynomial,0.823636364,10,1.666666667,,0.96001972,5.46E-05
mutual_info_classif,98,SVM,Polynomial,0.834545455,10,1.666666667,,0.96001972,5.46E-05
mutual_info_classif,98,SVM,Polynomial,0.845454545,10,1.666666667,,0.96001972,5.46E-05
mutual_info_classif,98,SVM,Polynomial,0.856363636,10,1.666666667,,0.96001972,5.46E-05
f_classif,115,SVM,Polynomial,0.78,10,1.666666667,,0.96001972,5.46E-05
f_classif,115,SVM,Polynomial,0.790909091,10,1.666666667,,0.96001972,5.46E-05
f_classif,115,SVM,Polynomial,0.801818182,10,1.666666667,,0.96001972,5.46E-05
f_classif,115,SVM,Polynomial,0.812727273,10,1.666666667,,0.96001972,5.46E-05
chi2,115,KNN,1,uniform,,,minkowski,0.96001972,7.25E-05
chi2,115,KNN,1,distance,,,minkowski,0.96001972,7.25E-05
mutual_info_classif,70,SVM,Polynomial,0.823636364,10,1.666666667,,0.960013708,9.67E-05
mutual_info_classif,70,SVM,Polynomial,0.834545455,10,1.666666667,,0.960013708,9.67E-05
mutual_info_classif,70,SVM,Polynomial,0.845454545,10,1.666666667,,0.960013708,9.67E-05
mutual_info_classif,70,SVM,Polynomial,0.856363636,10,1.666666667,,0.960013708,9.67E-05
mutual_info_classif,70,SVM,Polynomial,0.867272727,10,1.666666667,,0.960013708,9.67E-05
mutual_info_classif,70,SVM,Polynomial,0.889090909,10,1.666666667,,0.960013708,9.67E-05
mutual_info_classif,70,SVM,Polynomial,0.9,10,1.666666667,,0.960013708,9.67E-05
chi2,70,KNN,5,distance,,,euclidean,0.960013708,3.69E-05
f_classif,98,SVM,Polynomial,0.78,10,1.666666667,,0.960013708,6.08E-05
f_classif,115,SVM,Polynomial,0.889090909,10,1.666666667,,0.960013708,2.50E-05
f_classif,115,SVM,Polynomial,0.9,10,1.666666667,,0.960013708,2.50E-05
mutual_info_classif,140,SVM,Polynomial,0.889090909,9,1.666666667,,0.960013708,3.69E-05
mutual_info_classif,140,SVM,Polynomial,0.9,9,1.666666667,,0.960013708,3.69E-05
f_classif,70,KNN,5,distance,,,manhattan,0.960007695,7.40E-06
mutual_info_classif,70,SVM,Polynomial,0.9,7,2.333333333,,0.960007695,6.12E-05
f_classif,98,SVM,Polynomial,0.856363636,10,1.666666667,,0.960007695,6.12E-05
chi2,98,KNN,3,uniform,,,manhattan,0.960007695,3.13E-05
chi2,98,KNN,5,distance,,,manhattan,0.960007695,7.40E-06
mutual_info_classif,70,SVM,Polynomial,0.812727273,7,2.333333333,,0.960001683,3.77E-05
mutual_info_classif,70,SVM,Polynomial,0.823636364,7,2.333333333,,0.960001683,3.77E-05
mutual_info_classif,70,SVM,Polynomial,0.834545455,7,2.333333333,,0.960001683,3.77E-05
mutual_info_classif,85,KNN,1,uniform,,,manhattan,0.960001683,1.85E-06
mutual_info_classif,85,KNN,1,distance,,,manhattan,0.960001683,1.85E-06
mutual_info_classif,70,SVM,Polynomial,0.889090909,9,1.666666667,,0.959995671,5.61E-05
f_classif,115,KNN,5,distance,,,manhattan,0.959989659,1.49E-05
f_classif,115,SVM,Polynomial,0.78,8,2.333333333,,0.95903374,0.00014379
f_classif,115,SVM,Polynomial,0.790909091,8,2.333333333,,0.95903374,0.00014379
f_classif,115,SVM,Polynomial,0.801818182,8,2.333333333,,0.95903374,0.00014379
chi2,70,Voting,Hard,,,,,0.959027728,0.000120007
f_classif,85,KNN,3,uniform,,,euclidean,0.959027728,0.000120007
chi2,85,KNN,3,distance,,,minkowski,0.959027728,0.000120007
f_classif,115,SVM,Polynomial,0.845454545,11,1.666666667,,0.959027728,9.61E-05
f_classif,115,SVM,Polynomial,0.856363636,11,1.666666667,,0.959027728,9.61E-05
f_classif,115,SVM,Polynomial,0.867272727,11,1.666666667,,0.959027728,9.61E-05
f_classif,115,SVM,Polynomial,0.878181818,11,1.666666667,,0.959027728,9.61E-05
f_classif,115,SVM,Polynomial,0.889090909,11,1.666666667,,0.959027728,9.61E-05
f_classif,140,SVM,Polynomial,0.78,11,1.666666667,,0.959027728,0.000102079
f_classif,140,SVM,Polynomial,0.790909091,11,1.666666667,,0.959027728,0.000102079
f_classif,140,SVM,Polynomial,0.801818182,11,1.666666667,,0.959027728,0.000102079
f_classif,140,SVM,Polynomial,0.812727273,11,1.666666667,,0.959027728,0.000102079
f_classif,140,SVM,Polynomial,0.823636364,11,1.666666667,,0.959027728,0.000102079
f_classif,140,SVM,Polynomial,0.834545455,11,1.666666667,,0.959027728,0.000102079
f_classif,140,SVM,Polynomial,0.845454545,11,1.666666667,,0.959027728,0.000102079
f_classif,140,SVM,Polynomial,0.856363636,11,1.666666667,,0.959027728,0.000102079
f_classif,140,SVM,Polynomial,0.867272727,11,1.666666667,,0.959027728,0.000102079
mutual_info_classif,140,SVM,Polynomial,0.790909091,10,1.666666667,,0.959027728,0.000102079
mutual_info_classif,140,SVM,Polynomial,0.801818182,10,1.666666667,,0.959027728,0.000102079
mutual_info_classif,140,SVM,Polynomial,0.812727273,10,1.666666667,,0.959027728,0.000102079
mutual_info_classif,140,SVM,Polynomial,0.823636364,10,1.666666667,,0.959027728,0.000102079
mutual_info_classif,140,SVM,Polynomial,0.834545455,10,1.666666667,,0.959027728,0.000102079
mutual_info_classif,140,SVM,Polynomial,0.845454545,10,1.666666667,,0.959027728,0.000102079
mutual_info_classif,140,KNN,5,distance,,,euclidean,0.959027728,9.61E-05
f_classif,115,SVM,Polynomial,0.78,11,1.666666667,,0.959021716,6.04E-05
f_classif,115,SVM,Polynomial,0.790909091,11,1.666666667,,0.959021716,6.04E-05
f_classif,115,SVM,Polynomial,0.801818182,11,1.666666667,,0.959021716,6.04E-05
f_classif,115,SVM,Polynomial,0.812727273,11,1.666666667,,0.959021716,6.04E-05
mutual_info_classif,115,SVM,Polynomial,0.790909091,10,1.666666667,,0.959021716,6.04E-05
mutual_info_classif,115,SVM,Polynomial,0.801818182,10,1.666666667,,0.959021716,6.04E-05
mutual_info_classif,115,SVM,Polynomial,0.812727273,10,1.666666667,,0.959021716,6.04E-05
mutual_info_classif,115,SVM,Polynomial,0.823636364,10,1.666666667,,0.959021716,6.04E-05
chi2,115,KNN,3,distance,,,euclidean,0.959021716,6.04E-05
mutual_info_classif,70,SVM,Polynomial,0.78,10,1.666666667,,0.959015704,8.46E-05
mutual_info_classif,70,SVM,Polynomial,0.790909091,10,1.666666667,,0.959015704,8.46E-05
mutual_info_classif,70,SVM,Polynomial,0.801818182,10,1.666666667,,0.959015704,8.46E-05
mutual_info_classif,70,SVM,Polynomial,0.812727273,10,1.666666667,,0.959015704,8.46E-05
mutual_info_classif,70,SVM,Polynomial,0.878181818,10,1.666666667,,0.959015704,0.000126442
mutual_info_classif,70,SVM,Polynomial,0.9,11,1.666666667,,0.959015704,8.46E-05
f_classif,98,SVM,Polynomial,0.790909091,10,1.666666667,,0.959015704,5.47E-05
mutual_info_classif,98,SVM,Polynomial,0.867272727,10,1.666666667,,0.959015704,3.68E-05
mutual_info_classif,98,SVM,Polynomial,0.878181818,10,1.666666667,,0.959015704,3.68E-05
mutual_info_classif,98,SVM,Polynomial,0.889090909,10,1.666666667,,0.959015704,3.68E-05
mutual_info_classif,98,SVM,Polynomial,0.9,10,1.666666667,,0.959015704,3.68E-05
f_classif,115,SVM,Polynomial,0.878181818,10,1.666666667,,0.959015704,3.68E-05
f_classif,140,SVM,Polynomial,0.867272727,9,1.666666667,,0.959015704,3.68E-05
f_classif,140,SVM,Polynomial,0.878181818,9,1.666666667,,0.959015704,3.68E-05
f_classif,140,SVM,Polynomial,0.889090909,9,1.666666667,,0.959015704,3.68E-05
chi2,140,KNN,3,distance,,,euclidean,0.959015704,3.08E-05
f_classif,187,SVM,Polynomial,0.801818182,10,1.666666667,,0.959015704,5.47E-05
f_classif,187,SVM,Polynomial,0.812727273,10,1.666666667,,0.959015704,5.47E-05
f_classif,187,SVM,Polynomial,0.823636364,10,1.666666667,,0.959015704,5.47E-05
f_classif,187,SVM,Polynomial,0.834545455,10,1.666666667,,0.959015704,5.47E-05
f_classif,187,SVM,Polynomial,0.845454545,10,1.666666667,,0.959015704,5.47E-05
f_classif,187,SVM,Polynomial,0.856363636,10,1.666666667,,0.959015704,5.47E-05
f_classif,187,KNN,3,uniform,,,manhattan,0.959015704,5.47E-05
f_classif,187,KNN,3,distance,,,manhattan,0.959015704,3.68E-05
mutual_info_classif,187,SVM,Polynomial,0.801818182,10,1.666666667,,0.959015704,5.47E-05
mutual_info_classif,187,SVM,Polynomial,0.812727273,10,1.666666667,,0.959015704,5.47E-05
mutual_info_classif,187,SVM,Polynomial,0.823636364,10,1.666666667,,0.959015704,5.47E-05
mutual_info_classif,187,SVM,Polynomial,0.834545455,10,1.666666667,,0.959015704,5.47E-05
mutual_info_classif,187,SVM,Polynomial,0.845454545,10,1.666666667,,0.959015704,5.47E-05
mutual_info_classif,187,SVM,Polynomial,0.856363636,10,1.666666667,,0.959015704,5.47E-05
mutual_info_classif,187,KNN,3,uniform,,,manhattan,0.959015704,5.47E-05
mutual_info_classif,187,KNN,3,distance,,,manhattan,0.959015704,3.68E-05
chi2,187,KNN,3,uniform,,,manhattan,0.959015704,5.47E-05
chi2,187,KNN,3,distance,,,manhattan,0.959015704,3.68E-05
mutual_info_classif,85,SVM,Polynomial,0.78,10,1.666666667,,0.959009691,4.91E-05
mutual_info_classif,85,SVM,Polynomial,0.790909091,10,1.666666667,,0.959009691,4.91E-05
mutual_info_classif,85,SVM,Polynomial,0.801818182,10,1.666666667,,0.959009691,4.91E-05
mutual_info_classif,85,SVM,Polynomial,0.812727273,10,1.666666667,,0.959009691,4.91E-05
mutual_info_classif,85,SVM,Polynomial,0.823636364,10,1.666666667,,0.959009691,4.91E-05
mutual_info_classif,85,SVM,Polynomial,0.845454545,10,1.666666667,,0.959009691,4.91E-05
mutual_info_classif,85,SVM,Polynomial,0.856363636,10,1.666666667,,0.959009691,4.91E-05
f_classif,98,SVM,Polynomial,0.845454545,10,1.666666667,,0.959009691,4.91E-05
f_classif,98,SVM,Polynomial,0.867272727,10,1.666666667,,0.959009691,4.91E-05
f_classif,98,SVM,Polynomial,0.878181818,10,1.666666667,,0.959009691,4.91E-05
f_classif,98,SVM,Polynomial,0.889090909,10,1.666666667,,0.959009691,4.91E-05
f_classif,98,SVM,Polynomial,0.9,10,1.666666667,,0.959009691,4.91E-05
mutual_info_classif,98,SVM,Polynomial,0.823636364,8,1.666666667,,0.959009691,1.32E-05
mutual_info_classif,98,SVM,Polynomial,0.834545455,8,1.666666667,,0.959009691,1.32E-05
mutual_info_classif,98,SVM,Polynomial,0.845454545,8,1.666666667,,0.959009691,1.32E-05
mutual_info_classif,98,SVM,Polynomial,0.856363636,8,1.666666667,,0.959009691,1.32E-05
mutual_info_classif,140,SVM,Polynomial,0.878181818,9,1.666666667,,0.959009691,2.52E-05
mutual_info_classif,140,KNN,5,distance,,,manhattan,0.959009691,1.32E-05
chi2,50,KNN,5,distance,,,manhattan,0.959003679,7.67E-06
mutual_info_classif,70,SVM,Polynomial,0.801818182,7,2.333333333,,0.959003679,5.55E-05
f_classif,115,KNN,1,uniform,,,manhattan,0.959003679,9.73E-05
f_classif,115,KNN,1,distance,,,manhattan,0.959003679,9.73E-05
mutual_info_classif,50,KNN,3,distance,,,euclidean,0.958997667,1.41E-05
f_classif,70,KNN,1,uniform,,,euclidean,0.958997667,1.41E-05
f_classif,70,KNN,1,distance,,,euclidean,0.958997667,1.41E-05
mutual_info_classif,70,SVM,Polynomial,0.78,7,2.333333333,,0.958997667,3.80E-05
chi2,85,KNN,3,distance,,,manhattan,0.958997667,1.41E-05
mutual_info_classif,50,SVM,Polynomial,0.823636364,7,2.333333333,,0.958991655,8.70E-06
mutual_info_classif,50,SVM,Polynomial,0.834545455,7,2.333333333,,0.958991655,8.70E-06
mutual_info_classif,50,SVM,Polynomial,0.845454545,7,2.333333333,,0.958991655,8.70E-06
mutual_info_classif,50,SVM,Polynomial,0.856363636,7,2.333333333,,0.958991655,8.70E-06
chi2,140,KNN,5,distance,,,manhattan,0.958991655,1.47E-05
